Dorsal,Jugador,Liga,Posicion,Indice InStat,Partidos jugados,Minutos jugados,Starting lineup appearances,Jugador sustituido,De sustitucion,Ocasiones claras falladas,Ocasiones falladas por partido,Goles,Goles por partido,Tiros a portería,Tiros a porteria por partido,xG,Regates,Regates por partido, % disputas ganadas,Faltas cometidas por partido,Taclkes por Partido,Perdidas en campo propio,Perdidas en campo propio por partido,Balones recuperados,Balones recuperados por partido, % disputas por arriba ganadas,Interceptaciones,Interceptaciones por partido,Tarjetas amarillas,Asistencias,xA (Asistencias esperadas),Asistencias por partido,% de efectividad de pases,Pases de finalización,Pases de finalizacion por partido, % de efectividad de los centros,Balones perdidos,Balones perdidos por partido,Recuperaciones en campo rival,Recuperaciones en campo rival por partido,Tiros del rival,Remates del rival a puerta,Goles encajados,Goles encajados por partido,Tiros rechazados,Shots saved %,Pases,Pases efectivos,Pases completados por partido, % de efectividad de pases,Salidas con exito por partido,% Salidas con éxito,Pases largos completados,% Pases largos completados,Cleansheets,PSxG
11,Mohamed Salah,Premier League,Delantero,371,9,834,9,2,0,2,0.22,8,0.9,16,1.5,0.60,47,5.07,0.3,0,0,5,0.54,10,1.08,0.12,11,1.2,0,1,0,0.1,0.83,24,2.59,0.43,83,8.96,6,0.65,0,0,0,0.0,0,0,0,0,0.0,0.00,0,0,0,0,0,0
27,Joao Cancelo,Premier League,Defensa,369,5,476,5,0,0,0,0.00,0,0.0,1,0.0,0.01,23,4.35,0.59,2,2.8,5,0.95,34,6.43,0.5,28,5.6,1,1,0,0.2,0.89,10,1.89,0.33,37,7.00,9,1.70,0,0,0,0.0,0,0,0,0,0.0,0.00,0,0,0,0,0,0
15,Kurt Zouma,Premier League,Defensa,358,9,857,9,0,0,0,0.00,3,0.3,4,0.3,0.09,3,0.32,0.8,0.9,0.4,9,0.95,70,7.35,0.88,57,6.3,1,0,0,0.0,0.92,0,0.00,0,28,2.94,10,1.05,0,0,0,0.0,0,0,0,0,0.0,0.00,0,0,0,0,0,0
21,Ben Chilwell,Premier League,Defensa,357,7,652,7,1,0,0,0.00,2,0.3,5,0.2,0.11,16,2.21,0.63,0.9,1.6,12,1.66,33,4.56,0.63,38,5.4,1,2,0,0.3,0.85,8,1.10,0.21,52,7.18,12,1.66,0,0,0,0.0,0,0,0,0,0.0,0.00,0,0,0,0,0,0
10,Sadio Mane,Premier League,Delantero,355,9,786,8,2,1,5,0.57,4,0.4,14,1.4,0.49,56,6.41,0.42,0,0,6,0.69,14,1.60,0.32,18,2.0,2,1,0,0.1,0.79,11,1.26,0.43,76,8.70,6,0.69,0,0,0,0.0,0,0,0,0,0.0,0.00,0,0,0,0,0,0
10,Harry Kane,Premier League,Delantero,354,10,959,10,1,0,3,0.28,7,0.7,15,1.5,0.60,35,3.28,0.36,0,0,19,1.78,8,0.75,0.38,25,2.5,1,9,0,0.9,0.78,23,2.16,0,103,9.67,2,0.19,0,0,0,0.0,0,0,0,0,0.0,0.00,0,0,0,0,0,0
26,Riyad Mahrez,Premier League,Delantero,354,7,616,7,3,0,0,0.00,4,0.6,10,0.4,0.23,43,6.28,0.36,0,0,5,0.73,11,1.61,0.38,11,1.6,0,1,0,0.1,0.85,13,1.90,0.2,69,10.08,6,0.88,0,0,0,0.0,0,0,0,0,0.0,0.00,0,0,0,0,0,0
18,Bruno Fernandes,Premier League,Centrocampista,352,9,812,9,2,0,0,0.00,7,0.8,14,0.8,0.48,24,2.66,0.43,0,0,19,2.11,29,3.21,0.33,37,4.1,2,3,3.9,0.3,0.75,22,2.44,0.2,108,11.97,11,1.22,0,0,0,0.0,0,0,0,0,0.0,0.00,0,0,0,0,0,0
24,Serge Aurier,Premier League,Defensa,347,4,383,4,0,0,0,0.00,1,0.3,3,0.1,0.04,10,2.35,0.63,1.8,3.8,8,1.88,26,6.11,0.69,29,7.3,0,1,0,0.3,0.84,3,0.70,0.29,26,6.11,3,0.70,0,0,0,0.0,0,0,0,0,0.0,0.00,0,0,0,0,0,0
19,Mason Mount,Premier League,Centrocampista,338,9,765,8,1,1,0,0.00,1,0.1,10,0.5,0.13,27,3.18,0.51,0,0,13,1.53,23,2.71,0.37,25,2.8,1,1,1.5,0.1,0.91,5,0.59,0.36,50,5.88,7,0.82,0,0,0,0.0,0,0,0,0,0.0,0.00,0,0,0,0,0,0
16,Rodri,Premier League,Centrocampista,336,9,809,9,1,0,0,0.00,0,0.0,2,0.1,0.03,6,0.67,0.69,0,0,4,0.44,53,5.90,0.89,35,3.9,2,0,0.3,0.0,0.93,2,0.22,0,18,2.00,21,2.34,0,0,0,0.0,0,0,0,0,0.0,0.00,0,0,0,0,0,0
17,Kevin De Bruyne,Premier League,Centrocampista,334,8,692,7,0,1,0,0.00,1,0.1,8,0.5,0.32,26,3.38,0.46,0,0,6,0.78,23,2.99,0.57,20,2.5,0,4,2.3,0.5,0.76,36,4.68,0.27,65,8.45,14,1.82,0,0,0,0.0,0,0,0,0,0.0,0.00,0,0,0,0,0,0
